,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Item Nr.,Description ,Content/L,Preis,Preis per L
PKW-Motorenöle,,,,
220120001,"7-Stufen Automatikgetrieben gemäß Herstellervorschrift.
entwickelt für maximale Kraftstoffeffizienz in 7-Stufen Automatikgetrieben gemäß
Herstellervorschrift.",1,3.80 €,3.80 €
,MÖLLER Gear GL-5 SAE 80W-90,,,
220300200,API GL 4/5,200,405.00 €,2.03 €
220300060,MB 235.00,60,122.00 €,2.03 €
220300020,,20,43.00 €,2.15 €
220300005,,5,11.81 €,2.36 €
,MÖLLER Gear GL-4 SAE 80W-90,,,
220310200,API GL 4,200,389.00 €,1.95 €
220310060,MB 235.1,60,118.00 €,1.97 €
220310020,,20,41.36 €,2.07 €
220310005,,5,11.43 €,2.29 €
,MÖLLER Gear SAE 85W-140,,,
120320200,API GL-5,200,400.00 €,2.00 €
220320060,,60,121.40 €,2.02 €
220320020,,20,42.46 €,2.12 €
220320005,,5,11.70 €,2.34 €
,MÖLLER Gear GL-5 SAE 75W-80,,,
220330200,API GL 4/5,200,430.00 €,2.15 €
220330060,MB 235.10,60,132.00 €,2.20 €
220330020,,20,45.00 €,2.25 €
220330005,,5,11.50 €,2.30 €
,MÖLLER Gear GL-5 SAE 75W-90,,,
220340200,API GL 4/5,200,512.00 €,2.56 €
220340060,MB 235.08,60,156.60 €,2.61 €
220340020,,20,53.20 €,2.66 €
220340005,,5,13.55 €,2.71 €
,MÖLLER Gear SAE 90 ,,,
220350200,API GL 4,200,350.00 €,1.75 €
220350060,,60,106.50 €,1.78 €
220350020,,20,37.45 €,1.87 €
220350005,,5,10.44 €,2.09 €
,MÖLLER Gear SAE 140,,,
220360200,API GL 4,200,368.00 €,1.84 €
220360060,,60,111.50 €,1.86 €
220360020,,20,39.16 €,1.96 €
220360005,,5,10.88 €,2.18 €
220370200,MÖLLER Hydro HLP 10,,,
220370060,,200,372.00 €,1.86 €
220370020,,60,112.00 €,1.87 €
220370005,,20,39.00 €,1.95 €
220380200,MÖLLER Hydro HLP 32,,,
220380060,,200,292.00 €,1.46 €
220380020,,60,89.00 €,1.48 €
220380005,,20,31.00 €,1.55 €
220390200,MÖLLER Hydro HLP 46,,,
220390060,,200,299.00 €,1.50 €
220390020,,60,91.00 €,1.52 €
220390005,,20,32.00 €,1.60 €
220400200,MÖLLER Hydro HLP 68,,,
220400060,,200,306.00 €,1.53 €
220400020,,60,93.00 €,1.55 €
220400005,,20,33.00 €,1.65 €
Greas,,,,
220500180,MÖLLER K2K-30,180Kg,494.11 €,2.75 €
220500050,,50Kg,147.38 €,2.95 €
220500025,,25Kg,76.22 €,3.05 €
220500018,,18Kg,53.74 €,2.99 €
220500005,,5Kg,18.79 €,3.76 €
220500001,,1Kg,3.37 €,3.37 €
220500400,,400gr,2.78 €,6.95 €
220510180,MÖLLER EP-KP2K-30,180Kg,535.10 €,2.97 €
220510050,,50Kg,154.50 €,3.09 €
220510025,,25Kg,79.70 €,3.19 €
220510018,,18Kg,53.97 €,3.00 €
220510005,,5Kg,19.50 €,3.90 €
220510001,,1Kg,3.51 €,3.51 €
220510400,,400gr,2.80 €,7.00 €
220520180,MÖLLER EP-KP3K-30,180Kg,NA,
220520050,,50Kg,156.86 €,3.14 €
220520025,,25Kg,80.65 €,3.23 €
220520018,,18Kg,NA,
220520005,,5Kg,19.62 €,3.92 €
220520001,,1Kg,3.55 €,3.55 €
220520400,,400gr,2.80 €,7.00 €
220530180,MÖLLER (Graphit) KF2K-30,180Kg,660.00 €,3.67 €
220530050,,50Kg,NA,
220530025,,25Kg,NA,
220530018,,18Kg,NA,
220530005,,5Kg,22.77 €,4.55 €
220530001,,1Kg,4.24 €,4.24 €
220530400,,400gr,2.95 €,7.38 €
Brake fluids,,,,
220591000,DOT 5.1,1000,,
220590001,,1,,
220621000,ECO ME,1000,,
220620001,,1,,
220601000,DOT 3,1000,"2,600.00 €",2.60 €
220600001,,1,3.10 €,3.10 €
220611000,DOT 4,1000,"2,640.00 €",2.64 €
220610001,,1,3.15 €,3.15 €
220631000,DOT 3 HV,1000,,
220630001,,1,,
,,,,
Antifreez,,,,
230300200,MÖLLER AF G11 Concentrate,200,341.55 €,1.71 €
230300060,MB 325.0 & 325.2 VW / Audi / Seat / Skoda / ,60,,
230300020,"Porsche TL 774-C (G11), BMW GS 94000 Opel GME L301 ",20,,
230300005,"Ford ESD-M97B94-A, MAN 324 NF ",5,9.56 €,1.91 €
230300015,Saab 6901 599 MTU MTL 5048,1.5,3.08 €,2.05 €
230310200,MÖLLER AF G11 Readymix -40°C,200,260.15 €,1.30 €
230310060,MB 325.0 & 325.2 Opel GME L301 Ford ESD-M97B94-A,60,,
230310020,"BMW GS 94000, Saab 6901 599 MTU MTL 5048",20,,
230310005,MAN 324 NF Lada TTM VAZ 1.97.717-97,5,7.53 €,1.51 €
230310015,,1.5,2.47 €,1.65 €
